Location,Year,Municipality Population-- do not change or edit - click to see definition,Direct Circ,Total Appropriated Municipal Income--Operating,1 Total number of adult programs,2 Total attendance at all adult programs,3 Total number of Young Adult programs,4 Total attendance at YA programs,5 Total number of children's programs,6 Total Attendance at all Children's Programs,7 Total Number of Programs,8 Total Attendance at All Programs,ILL Received,ILL Provided,Visitors,1 Number of public use Internet computers available in the library (including children's area) and its branches and bookmobiles,Number of Users of Public Internet Computers Per Year - IMLS
Winchester - Winchester Public Library,2014,"21,869","521,198","$1,758,345 ",273,"1,994",0,0,590,"9,983",863,"11,977","57,406","52,237","278,219",19,"50,440"
Stoneham - Stoneham Public Library,2014,"21,605","97,897","$721,584 ",29,653,15,204,379,"8,315",423,"9,172","12,345","10,479","106,051",13,"11,700"
Ludlow - Hubbard Memorial Library,2014,"21,195","97,915","$445,155 ",168,"1,280",69,"1,131",281,"6,325",518,"8,736","17,811","18,694",,20,"13,416"
Sandwich - Sandwich Free Public Library,2014,"20,662","229,218","$939,639 ",72,"3,254",42,865,433,"17,802",531,"20,571","17,438","15,301",,18,"13,936"
Gardner - Levi Heywood Memorial Library,2014,"20,254","184,410","$620,734 ",20,540,0,,179,"2,881",199,"3,421","21,234","15,526","111,852",6,"9,464"
Marblehead - Abbot Public Library,2014,"20,076","211,383","$1,031,943 ",73,"2,198",19,125,158,"2,637",250,"4,960","27,717","16,706",,22,"16,172"
Bourne - Jonathan Bourne Public Library,2014,"19,806","156,577","$613,547 ",74,"1,263",30,211,364,"5,907",468,"7,381","24,096","20,438","99,242",12,"7,072"
Hudson - Hudson Public Library,2014,"19,481","211,283","$703,483 ",136,"1,454",10,47,230,"8,151",376,"9,652","24,289","21,842","73,070",19,"10,608"
Norton - Norton Public Library,2014,"19,310","96,183","$345,000 ",144,"2,247",40,455,104,"4,798",288,"7,500","17,865","17,936","85,691",10,"6,604"
Concord - Concord Free Public Library,2014,"18,957","409,436","$1,871,760 ",65,"3,144",30,585,111,"2,093",206,"5,822","47,886","79,536","331,248",24,"25,376"
Westborough - Westborough Public Library,2014,"18,455","227,001","$957,005 ",191,"2,872",6,107,163,"2,216",360,"5,195","22,526","15,503","137,048",9,"11,856"
Somerset - Somerset Public Library,2014,"18,270","97,542","$561,857 ",489,"12,322",53,593,334,"8,219",876,"21,134","16,942","24,396","169,514",13,"25,168"
Scituate - Scituate Town Library,2014,"18,173","236,357","$956,456 ",66,"1,815",38,875,287,"9,639",391,"12,329","25,930","29,502","140,109",8,"10,296"
Sudbury - Goodnow Public Library,2014,"18,119","387,059","$985,328 ",32,"1,160",24,726,494,"18,207",550,"20,093","49,444","60,216","176,935",18,
Grafton - Grafton Public Library,2014,"18,045","139,382","$524,902 ",57,951,39,214,252,"3,224",348,"4,389","19,186","10,107","48,693",8,"3,640"
Pembroke - Pembroke Public Library,2014,"17,959","138,119","$614,696 ",406,406,18,282,221,"5,743",645,"6,431","22,153","27,971","109,000",11,"10,920"
Winthrop - Winthrop Public Library,2014,"17,940","63,265","$479,871 ",88,"1,318",6,35,75,"1,866",169,"3,219","8,297","8,321","51,693",13,
Sharon - Sharon Public Library,2014,"17,826","274,812","$896,785 ",80,"1,400",0,0,140,"2,500",220,"3,900","49,459","12,115","15,500",9,"17,212"
South Hadley - Gaylord Memorial Library,2014,"17,773","14,306","$31,754 ",130,"1,275",2,30,70,972,202,"2,277",479,,,2,156
South Hadley - South Hadley Public Library,2014,"17,773","161,750","$527,837 ",193,"2,078",12,116,81,"1,478",286,"3,672","25,554","15,746",,13,"21,164"
Newburyport - Newburyport Public Library,2014,"17,654","317,615","$1,256,236 ",179,"2,666",76,825,196,"4,960",451,"8,451","47,894","29,616","275,460",25,"32,916"
Holden - Gale Free Library,2014,"17,636","331,705","$783,437 ",80,848,,,123,"6,152",203,"7,000","25,507","21,296","225,894",8,"37,700"
Rockland - Rockland Memorial Library,2014,"17,580","70,292","$534,127 ",73,683,22,291,175,"2,662",221,"2,560","11,831","18,480","49,496",9,"7,228"
Greenfield - Greenfield Public Library,2014,"17,553","300,333","$644,500 ",63,607,0,0,207,"7,533",270,"8,140","35,185","14,838","172,616",18,"20,124"
Foxborough - Boyden Library,2014,"17,087","159,774","$999,358 ",5,240,0,0,131,"3,319",136,"3,559","31,462","38,119",,30,
Ashland - Ashland Public Library,2014,"16,993","149,459","$307,168 ",73,"1,095",43,306,114,"4,169",230,"5,570","17,880","18,895",,13,"6,604"
Webster - Chester C. Corbin Public Library,2014,"16,812","43,325","$317,769 ",26,233,24,170,132,"1,060",182,"1,463","6,054","7,420","42,000",7,"33,800"
Southbridge - Jacob Edwards Library,2014,"16,799","82,181","$477,554 ",107,"1,561",59,587,186,"4,210",352,"6,358","8,055","17,342","100,311",17,"10,972"
Amesbury - Amesbury Public Library,2014,"16,535","158,250","$768,952 ",52,877,73,841,176,"3,237",301,"4,955","28,611","28,383","64,386",7,"7,176"
Bellingham - Bellingham Public Library,2014,"16,521","107,891","$503,721 ",90,840,124,"2,005",550,"17,270",764,"20,115","12,326","15,075","91,179",10,"14,612"
Auburn - Auburn Free Public Library,2014,"16,287","193,057","$570,371 ",187,"1,434",107,594,269,"3,752",563,"5,780","19,465","20,434","90,250",16,"15,028"
Abington - Abington Public Library,2014,"16,060","104,880","$452,714 ",62,845,30,530,266,"5,941",358,"7,316","15,414","14,729","77,354",15,"6,916"
Swansea - Swansea Free Public Library,2014,"16,010","69,734","$267,099 ",230,"1,195",88,375,228,"1,987",546,"3,557","18,548","17,865","21,895",8,"11,232"
Easthampton - Emily Williston Memorial Library,2014,"16,007","95,225","$198,244 ",41,345,16,61,167,"3,096",224,"3,502","21,398","9,962","55,337",5,"5,720"
Northbridge - Whitinsville Social Library,2014,"15,917","64,141","$143,247 ",84,790,6,81,540,"3,954",630,"4,825","7,937","7,601",,4,"4,940"
Fairhaven - Millicent Library,2014,"15,900","108,775","$582,672 ",5,62,21,375,227,"5,605",253,"6,042","18,819","38,797",,7,"31,200"
East Longmeadow - East Longmeadow Public Library,2014,"15,896","207,964","$667,306 ",82,"1,148",12,65,300,"10,246",394,"11,459","24,738","16,587","136,945",20,"72,800"
Longmeadow - Richard Salter Storrs Library,2014,"15,835","171,953","$636,901 ",94,"1,863",14,192,523,"12,088",631,"14,143","19,039","15,536","116,000",18,"10,972"
Westport - Westport Free Public Library,2014,"15,655","66,868","$218,487 ",17,108,10,165,70,"1,221",97,"1,494","19,469","9,103",,7,"41,600"
Hopkinton - Hopkinton Public Library,2014,"15,478","139,838","$354,554 ",45,744,7,69,111,"2,095",163,"2,908","14,170","8,975","63,000",7,"5,512"
North Reading - Flint Memorial Library,2014,"15,254","95,418","$471,304 ",61,832,12,106,163,"6,729",236,"7,667","12,245","23,447","38,220",14,"7,800"
Duxbury - Duxbury Free Library,2014,"15,172","229,079","$1,248,808 ",308,"2,638",142,"1,662",338,"6,856",788,"11,156","14,768","22,163","171,330",24,"11,336"
Westwood - Westwood Public Library,2014,"14,768","267,549","$1,064,292 ",26,842,7,37,396,"8,904",429,"9,746","28,942","38,957","188,713",22,"6,500"
Northborough - Northborough Free Library,2014,"14,724","168,227","$700,971 ",45,499,63,332,292,"5,180",400,"6,011","21,810","14,584","116,742",21,"14,352"
Belchertown - Clapp Memorial Library,2014,"14,719","109,373","$397,639 ",39,758,39,383,441,"11,548",519,"12,689","16,665","16,267","92,312",5,"4,472"
Whitman - Whitman Public Library,2014,"14,609","93,127","$376,298 ",169,746,24,289,139,"4,164",332,"5,199","11,159","8,584","82,947",13,"16,692"
Wilbraham - Wilbraham Public Library,2014,"14,337","151,599","$654,039 ",103,"1,256",39,"1,266",149,"2,942",291,"5,464","14,757","16,781","81,846",20,"14,508"
Dennis - South Dennis Free Public Library,2014,"14,153","19,995","$34,834 ",9,150,0,0,7,95,16,245,"3,430","5,586","8,208",2,"3,900"
Dennis - West Dennis Free Public Library,2014,"14,153","16,550","$39,684 ",249,"2,312",0,0,17,170,266,"2,482","4,439","5,886","12,125",5,"3,796"
Dennis - Dennis Public Library,2014,"14,153","69,914","$310,457 ",127,"1,473",4,58,94,"2,479",225,"4,010","10,627","11,027","100,842",13,"13,000"
Dennis - Jacob Sears Memorial Library,2014,"14,153","48,171","$33,185 ",122,"2,550",,,,,122,"2,550","4,098","7,742","18,650",5,"4,680"
Dennis - Dennis Memorial Library Association,2014,"14,153","47,835","$76,906 ",89,"1,953",0,0,16,516,105,"2,469","12,371","6,127","51,440",14,"10,452"
Hanover - John Curtis Free Library,2014,"14,151","109,463","$525,034 ",26,391,15,102,278,"3,767",319,"4,260","18,728","18,728","40,917",19,"6,188"
Holliston - Holliston Public Library,2014,"14,014","172,557","$442,708 ",39,567,4,18,138,"3,263",181,"3,848","26,067","24,899","156,000",13,"26,000"
Mashpee - Mashpee Public Library,2014,"14,005","217,106","$530,943 ",16,352,3,14,287,"6,682",306,"7,048","23,527","22,156",,26,"18,200"
Seekonk - Seekonk Public Library,2014,"13,983","250,648","$856,962 ",106,"2,884",5,69,334,"8,515",445,"11,468","32,858","43,275","110,272",28,"13,208"
East Bridgewater - East Bridgewater Public Library,2014,"13,955","98,137","$414,423 ",16,677,12,61,312,"5,688",340,"6,426","15,215","14,862",,5,"6,500"
Swampscott - Swampscott Public Library,2014,"13,919","170,277","$672,159 ",260,"2,720",22,833,105,"2,231",387,"5,784","14,866","16,396","84,240",17,"17,212"
Oxford - Oxford Free Public Library,2014,"13,771","111,765","$427,494 ",30,303,,,112,"1,438",142,"1,741","13,670","13,010",,16,"18,720"
Bedford - Bedford Free Public Library,2014,"13,765","358,956","$1,199,336 ",107,"2,119",32,683,200,"8,328",339,"11,130","46,216","45,063","202,029",14,"28,236"
Clinton - Bigelow Free Public Library,2014,"13,668","23,070","$312,798 ",24,623,3,27,43,"2,771",70,"3,421","1,777",288,"25,805",12,"5,044"
North Adams - North Adams Public Library,2014,"13,583","115,201","$296,751 ",15,483,0,0,163,"3,308",178,"3,791","13,631","11,134","64,379",8,"13,000"
Uxbridge - Uxbridge Free Public Library,2014,"13,560","80,335","$332,511 ",107,862,27,224,193,"3,230",327,"4,316","10,753","11,495","66,893",10,"2,340"
Ipswich - Ipswich Public Library,2014,"13,545","166,503","$593,600 ",23,486,18,115,298,"6,515",339,"7,116","23,891","22,798","99,200",9,"11,492"
Raynham - Raynham Public Library,2014,"13,504","97,059","$307,554 ",71,"1,155",8,32,174,"2,925",253,"4,112","18,180","15,354","62,140",7,"6,136"
Millbury - Millbury Public Library,2014,"13,305","60,399","$369,286 ",174,"2,360",0,0,285,"2,280",459,"4,640","8,448","8,961","68,058",6,"5,096"
Wayland - Wayland Free Public Library,2014,"13,285","222,184","$1,000,378 ",191,"2,523",14,173,119,"3,122",324,"5,818","24,870","36,991","111,207",22,"30,680"
Charlton - Charlton Public Library,2014,"13,119","92,502","$353,924 ",67,834,62,685,290,"6,783",419,"8,302","11,164","9,736",,25,"3,484"
Hamilton - Hamilton-Wenham Public Library,2014,"13,065","251,433","$762,075 ",433,"5,726",86,"1,040",369,"10,013",888,"16,779","29,828","38,299","113,346",25,"20,280"
Medway - Medway Public Library,2014,"12,864","102,298","$246,916 ",44,666,23,111,136,"3,495",203,"4,272","13,037","16,153","70,634",16,"4,628"
Kingston - Kingston Public Library,2014,"12,727","111,970","$552,206 ",201,"2,242",14,99,269,"3,405",484,"5,746","9,896","14,535","70,250",18,"7,540"
Harwich - Brooks Free Library,2014,"12,263","208,170","$692,196 ",572,"4,396",29,197,305,"8,493",906,"13,086","37,406","29,395","159,388",20,"74,100"
"Harwich - Chase Library Assoc., Inc.",2014,"12,263","4,770","$10,000 ",19,795,0,0,12,98,31,893,58,,"3,297",1,572
Harwich - Harwich Port Library Association,2014,"12,263","6,887","$10,000 ",6,262,0,0,8,121,14,383,306,40,"3,571",1,364
Medfield - Medfield Memorial Library,2014,"12,219","193,840","$687,944 ",46,250,83,"1,465",370,"6,136",499,"7,851","22,643","31,915","116,456",19,"12,792"
Palmer - Palmer Public Library,2014,"12,152","127,260","$703,322 ",27,573,75,706,53,"1,706",155,"2,985","14,503","21,867","79,473",42,"19,240"
Tyngsborough - Tyngsborough Public Library,2014,"11,953","87,357","$326,441 ",,"1,192",8,111,135,"2,494",143,"3,797","11,337","33,439","70,477",10,"6,968"
Lynnfield - Lynnfield Public Library,2014,"11,805","127,124","$730,855 ",70,"1,059",22,169,182,"5,789",274,"7,017","12,944","12,496","98,981",9,"25,324"
Pepperell - Lawrence Library,2014,"11,797","115,522","$442,267 ",210,"6,963",19,335,178,"3,435",407,"10,733","9,947","10,125","98,750",8,"6,344"
Spencer - Richard Sugden Public Library,2014,"11,749","50,802","$392,280 ",67,534,93,438,289,"3,479",449,"4,451","6,048","7,304","48,868",8,"12,584"
Rehoboth - Blanding Free Public Library,2014,"11,739","42,605","$212,351 ",36,430,14,84,150,"3,652",200,"4,166","11,948","13,773",,4,
Weston - Weston Public Library,2014,"11,737","347,709","$1,274,229 ",501,"3,822",21,184,255,"5,797",777,"9,803","26,598","50,005","143,850",15,"10,088"
Athol - Athol Public Library,2014,"11,631","91,029","$453,936 ",25,670,114,971,170,"3,236",309,"4,877","13,294","10,913",,22,"21,060"
Dudley - Pearle L. Crawford Memorial Library,2014,"11,557","66,822","$179,010 ",30,852,10,45,90,"2,735",130,"3,632","10,130","6,902","58,416",26,"19,500"
Norfolk - Norfolk Public Library,2014,"11,539","104,856","$503,136 ",34,954,29,280,329,"5,598",392,"6,832","17,275","23,517","75,379",16,"4,316"
Carver - Carver Public Library,2014,"11,521","81,252","$370,467 ",24,235,37,261,322,"4,691",383,"5,187","13,586","15,715","87,921",19,"13,000"
Wrentham - Fiske Public Library,2014,"11,118","76,199","$303,834 ",61,700,4,27,380,"6,600",445,"7,327","13,101","18,823",,11,"2,080"
Leicester - Leicester Public Library,2014,"11,110","32,816","$157,579 ",4,67,0,0,40,622,44,689,"5,483","6,273","33,322",9,"3,536"
Groton - Groton Public Library,2014,"11,017","204,659","$794,411 ",144,"2,118",100,"1,950",278,"6,188",522,"10,256","9,149","22,525","104,701",26,"5,460"
Holbrook - Holbrook Public Library,2014,"10,899","58,310","$324,675 ",44,328,10,22,82,743,136,"1,093","7,308","6,041",,16,"7,540"
Lakeville - Lakeville Free Public Library,2014,"10,861","107,412","$290,485 ",226,"1,516",5,24,196,"2,232",427,"3,772","24,815","18,992","51,414",14,"7,540"
Lunenburg - Lunenburg Public Library,2014,"10,847","98,189","$355,587 ",110,710,64,"1,008",139,"1,321",313,"3,039","11,543","11,085","62,356",19,"10,504"
Norwell - Norwell Public Library,2014,"10,574","125,516","$572,926 ",118,911,2,4,159,"5,308",279,"6,223","17,073","25,358","86,397",13,"8,060"
Winchendon - Beals Memorial Library,2014,"10,472","48,405","$164,601 ",2,28,1,20,121,"1,290",124,"1,338","6,671","8,562",,8,"5,668"
Acushnet - Russell Memorial Library,2014,"10,326","46,262","$205,257 ",58,475,,,25,939,83,"1,414","12,044","11,774",,4,"1,924"
Maynard - Maynard Public Library,2014,"10,304","125,398","$450,095 ",40,"1,877",18,193,125,"3,159",183,"5,229","20,393","25,194",,18,"21,060"
Hull - Hull Public Library,2014,"10,302","40,376","$282,720 ",39,682,0,0,49,562,88,"1,244","4,117","3,394","48,102",9,"22,516"
Nantucket - Nantucket Atheneum,2014,"10,298","130,513","$676,444 ",400,"13,430",128,862,519,"10,775","1,047","25,067","15,572","19,161","178,420",20,"10,556"
Hanson - Hanson Public Library,2014,"10,292","68,338","$340,277 ",48,711,10,210,174,"3,549",232,"4,470","9,167","13,905","98,521",10,"9,880"
Ware - Young Men's Library Association,2014,"9,859","51,059","$187,338 ",1,5,0,0,58,"1,044",59,"1,049","5,608","5,072","23,628",5,"4,420"
Southborough - Southborough Public Library,2014,"9,854","149,377","$395,101 ",40,813,36,439,212,"8,018",288,"9,270","16,052","17,343","91,781",5,"3,172"
Brewster - Brewster Ladies' Library,2014,"9,806","161,445","$526,144 ",172,"3,823",31,357,101,"3,354",304,"7,534","20,734","23,626","136,500",17,"59,384"
Southwick - Southwick Public Library,2014,"9,575","62,472","$369,003 ",23,320,34,656,78,"3,217",135,"4,193",936,"2,377","41,877",7,"2,028"
Sturbridge - Joshua Hyde Public Library,2014,"9,350","105,979","$408,141 ",22,278,6,55,229,"3,908",257,"4,241","13,183","14,023","146,805",10,"8,372"
Middleton - Flint Public Library,2014,"9,267","69,911","$430,530 ",160,"1,675",32,208,178,"4,755",370,"6,638","13,277","17,635","49,244",16,"6,240"
Townsend - Townsend Public Library,2014,"9,133","120,648","$225,361 ",108,"1,699",37,226,238,"4,947",383,"6,872","14,090","15,125","62,323",40,"16,900"
Littleton - Reuben Hoar Library,2014,"9,132","154,663","$483,804 ",159,"2,314",21,202,152,"3,526",,,"28,891","25,385","59,006",13,"4,420"
Sutton - Sutton Free Public Library,2014,"9,077","67,505","$184,917 ",71,379,29,199,273,"2,761",373,"3,339","7,793","11,498","60,000",3,"8,320"
Blackstone - Blackstone Free Public Library,2014,"9,059","76,567","$332,772 ",26,549,2,23,168,"3,651",196,"4,223","7,543","15,610","41,832",16,"6,292"
Freetown - James White Memorial Library,2014,"8,948","9,859","$114,695 ",1,3,1,29,13,57,15,89,"5,862","9,135","8,125",8,"1,872"
Monson - Monson Free Library & Reading Room,2014,"8,679","48,021","$225,425 ",40,508,0,0,93,"2,549",133,"3,057","7,220","9,426","37,199",5,"2,340"
Douglas - Simon Fairfield Public Library,2014,"8,572","39,492","$204,140 ",3,72,36,68,118,"1,715",157,"1,855","8,122","9,080",,4,"4,056"
Plainville - Plainville Public Library,2014,"8,440","78,740","$200,849 ",53,370,0,0,192,"3,251",245,"3,621","14,402","19,337",,8,"2,236"
Salisbury - Salisbury Public Library,2014,"8,425","21,505","$193,848 ",38,565,0,0,62,876,100,"1,441","4,882","7,160",0,3,"3,900"
Montague - Montague Public Libraries,2014,"8,420","107,136","$325,242 ",30,228,1,3,247,"6,195",278,"6,426","16,729","11,537","46,622",7,"7,280"
Adams - Adams Free Library,2014,"8,383","43,057","$260,476 ",22,"1,105",,,58,"2,258",80,"3,363","4,239","5,262",,8,"2,964"
Georgetown - Peabody Library,2014,"8,377","70,904","$306,117 ",23,83,15,78,184,"2,587",222,"2,748","11,139","19,506","35,580",21,"5,148"
Cohasset - Paul Pratt Memorial Library,2014,"8,195","155,411","$537,234 ",56,"1,111",39,509,223,"9,016",318,"10,636","17,652","18,831","124,959",32,"12,272"
Rutland - Rutland Free Public Library,2014,"8,185","50,737","$193,276 ",50,548,2,38,58,"1,221",110,"1,807","1,940","1,147","40,688",15,"10,296"
Boxford - Boxford Town Library,2014,"8,087","54,629","$428,008 ",65,641,4,47,89,"1,633",158,"2,321","12,811","12,789","29,451",2,"1,560"
Templeton - Boynton Public Library,2014,"8,051","34,030","$44,732 ",2,30,0,0,245,"7,625",247,"7,655","1,352",8,0,2,"2,496"
Millis - Millis Public Library,2014,"7,995","101,357","$345,608 ",110,"1,352",28,469,193,"7,062",331,"8,883","10,690","15,051","95,227",14,"15,028"
Lancaster - Thayer Memorial Library,2014,"7,956","111,756","$311,377 ",367,"2,818",17,108,108,"2,001",492,"4,927","12,380","28,323","55,067",13,"4,108"
Sterling - Conant Free Public Library,2014,"7,858","94,037","$347,750 ",78,583,47,75,107,"1,304",232,"1,962","12,467","9,530","51,576",16,"3,692"
Orange - Wheeler Memorial Library,2014,"7,821","52,921","$306,596 ",8,181,3,61,184,"3,359",195,"3,601","8,074","9,724","39,369",13,"6,760"
West Boylston - Beaman Memorial Public Library,2014,"7,779","75,329","$342,519 ",73,"1,565",11,86,228,"5,887",312,"7,538","7,122","7,997","57,606",12,"5,512"
Williamstown - David & Joyce Milne Public Library,2014,"7,700","140,267","$509,850 ",,,5,80,166,"1,974",171,"2,054","16,135","15,512","61,627",15,"10,920"
Ayer - Ayer Public Library,2014,"7,688","69,971","$467,433 ",9,280,5,120,67,"2,804",81,"3,204","4,318","13,329","83,672",13,"27,560"
Upton - Upton Town Library,2014,"7,640","58,345","$219,665 ",37,216,5,44,133,"1,404",175,"1,664","9,608","7,732","25,870",5,"1,352"
Halifax - Holmes Public Library,2014,"7,546","45,274","$302,443 ",64,698,14,64,195,"3,759",273,"4,521","9,182","20,825","50,000",8,"4,680"
Shirley - Hazen Memorial Library,2014,"7,546","58,740","$203,682 ",193,"3,296",11,80,158,"3,040",362,"6,416","5,325","11,105","44,978",11,"18,720"
Westminster - Forbush Memorial Library,2014,"7,339","53,860","$334,400 ",102,"1,360",0,0,155,"3,257",257,"4,617","9,974","9,659","34,319",6,"1,716"
Dighton - Dighton Public Library,2014,"7,152","34,877","$221,822 ",51,407,14,158,162,"1,027",227,"1,592","9,329","12,774","20,692",3,832
Rockport - Rockport Public Library,2014,"7,063","66,743","$503,975 ",199,"3,974",0,0,66,"1,942",265,"5,916","10,086","23,020","105,393",13,"10,920"
Great Barrington - Mason Library,2014,"7,003","147,891","$488,345 ",219,"2,116",10,27,205,"2,797",434,"4,940","17,958","18,311","139,807",41,"20,592"
West Bridgewater - West Bridgewater Public Library,2014,"6,941","50,024","$399,802 ",14,118,4,40,69,"1,976",87,"2,134","10,310","18,958","32,074",10,"4,420"
Stow - Randall Library,2014,"6,854","77,480","$214,141 ",23,356,41,324,131,"2,330",195,"3,010","16,167","12,257","43,848",5,"12,480"
Groveland - Langley Adams Library,2014,"6,794","62,947","$226,855 ",157,"1,579",20,76,259,"3,202",436,"4,857","16,415","10,645","34,459",6,"3,952"
Newbury - Newbury Town Library,2014,"6,771","48,258","$223,033 ",49,401,14,68,111,"1,454",174,"1,923","6,313","12,759","18,979",17,"2,704"
Dalton - Dalton Free Public Library,2014,"6,733","42,408","$183,344 ",12,132,0,0,62,"1,017",74,"1,149","6,542","6,164","35,810",7,"5,512"
Harvard - Harvard Public Library,2014,"6,530","118,064","$535,097 ",57,"2,946",55,567,334,"6,567",446,"10,080","13,957","9,116","103,920",19,"8,424"
Merrimac - Merrimac Public Library,2014,"6,517","66,034","$252,914 ",12,336,6,104,115,"1,445",133,"1,885","11,742","12,331","51,500",13,"6,500"
Lincoln - Lincoln Public Library,2014,"6,503","174,466","$906,140 ",152,"2,863",10,142,303,"8,523",465,"11,528","28,004","30,316","91,149",14,"29,536"
Berkley - Berkley Public Library,2014,"6,499","23,883","$114,152 ",10,225,0,0,127,"1,624",137,"1,849","7,226","7,315","9,750",3,364
Granby - Granby Free Public Library,2014,"6,282","55,358","$132,634 ",130,"1,416",24,123,45,750,199,"2,289","6,451","5,948","35,600",9,"5,200"
Topsfield - Topsfield Town Library,2014,"6,273","125,844","$494,662 ",27,"1,153",4,70,127,"2,635",158,"3,858","17,753","19,664","75,431",17,"2,444"
Chatham - South Chatham Public Library,2014,"6,141","3,076","$5,100 ",0,0,0,0,0,0,0,0,0,0,"2,014",0,0
Chatham - Eldredge Public Library,2014,"6,141","98,254","$433,892 ",329,"4,495",62,"1,195",218,"5,513",609,"11,203","18,646","18,796","160,235",30,"31,980"
Ashburnham - Stevens Memorial Library,2014,"6,134","21,333","$190,229 ",5,40,3,40,23,441,31,521,562,617,"58,836",5,"1,300"
Mattapoisett - Mattapoisett Public Library,2014,"6,113","75,635","$325,186 ",79,"1,040",17,275,240,"3,903",336,"5,218","13,335","17,680","77,349",8,"3,276"
Rowley - Rowley Public Library,2014,"5,966","47,538","$259,569 ",101,"1,338",3,5,198,"3,059",302,"4,402","7,871","10,980","36,495",14,"10,868"
Southampton - Edwards Public Library,2014,"5,932","59,194","$128,180 ",87,805,6,73,62,"1,004",155,"1,882","8,928","5,051","24,791",7,"2,392"
Hopedale - Bancroft Memorial Library,2014,"5,930","35,750","$245,030 ",72,553,7,54,169,"2,633",248,"3,240","5,625","9,272","20,109",7,"1,612"
Lee - Lee Library Association,2014,"5,898","62,708","$260,606 ",16,327,1,25,107,"1,447",124,"1,799","9,732","8,229","36,412",3,"7,956"
Orleans - Snow Library,2014,"5,881","153,506","$521,659 ",475,"13,220",0,0,117,"1,924",592,"15,144","25,501","10,862","155,802",10,"17,680"
Mendon - Taft Public Library,2014,"5,876","34,076","$159,242 ",14,133,6,87,158,"2,443",178,"2,663","4,225","5,887","20,678",4,"1,560"
Dover - Dover Town Library,2014,"5,722","171,290","$552,631 ",302,"4,820",64,"3,021",375,"10,642",741,"18,483","14,061","19,567","78,179",124,"18,928"
Barre - Woods Memorial Library,2014,"5,429","36,742","$188,083 ",8,329,4,20,141,"2,567",153,"2,916","5,562","5,434","27,630",7,"4,420"
Rochester - Joseph H. Plumb Memorial Library,2014,"5,325","32,630","$193,005 ",91,446,15,213,93,"1,140",199,"1,799","11,707","9,411",,8,"1,456"
Hadley - Goodwin Memorial Library,2014,"5,270","43,108","$195,485 ",69,662,6,20,63,647,138,"1,329","5,361","4,240","16,080",7,"1,872"
Manchester-by-the-Sea - Manchester-by-the-Sea Public Library,2014,"5,216","64,570","$419,007 ",47,459,23,663,164,"4,603",234,"5,725","11,033","16,659","42,554",6,"2,860"
Hampden - Hampden Free Library,2014,"5,156","25,070","$115,302 ",23,553,7,144,107,"1,745",137,"2,442","2,953","4,319","15,746",8,"1,196"
Warren - Warren Public Library,2014,"5,142","12,364","$78,371 ",17,344,10,90,44,221,156,"1,715","2,506","2,835","11,652",5,"1,820"
Warren - West Warren Library Association,2014,"5,142","18,157","$78,371 ",4,100,,,5,190,9,290,"1,857","2,679","6,769",4,"3,900"
Deerfield - Tilton Library,2014,"5,119","51,561","$150,605 ",52,756,144,867,200,"1,893",396,"3,516","7,897","5,832",,3,"4,212"
Boxborough - Sargent Memorial Library,2014,"5,105","116,913","$328,624 ",112,"1,457",49,452,184,"4,827",345,"6,736","8,977","15,372","93,270",12,"21,372"
Bolton - Bolton Public Library,2014,"5,016","72,788","$384,144 ",77,762,57,269,167,"3,630",301,"4,661","8,534","15,665","41,574",10,"1,664"
Lenox - Lenox Library Association,2014,"5,000","70,231","$248,350 ",64,"2,567",0,0,382,"7,800",446,"10,367","9,316","12,050","35,724",8,"4,628"
Carlisle - Gleason Public Library,2014,"4,978","94,354","$560,005 ",89,"1,655",33,543,137,"2,740",259,"4,938","15,784","24,524","82,967",6,"6,396"
Eastham - Eastham Public Library,2014,"4,946","101,779","$308,336 ",260,"1,747",,,208,"3,237",468,"4,984","13,726","17,093","64,066",8,"7,332"
Marion - Elizabeth Taber Memorial Library,2014,"4,909","41,038","$147,491 ",72,402,0,0,154,"4,522",226,"4,924","10,625","5,849","38,000",5,"3,640"
Paxton - Richards Memorial Library,2014,"4,860","33,625","$155,259 ",4,82,0,0,74,"1,018",78,"1,100","1,728","3,162","9,600",5,"1,820"
North Brookfield - Haston Free Public Library,2014,"4,682","24,644","$96,714 ",48,953,2,11,67,"1,219",117,"2,183","6,672","3,908","24,904",11,"2,288"
Oak Bluffs - Oak Bluffs Public Library,2014,"4,642","164,727","$467,519 ",280,"3,674",10,82,284,"7,654",574,"11,410","11,794","24,579","74,110",23,"21,372"
Hubbardston - Hubbardston Public Library,2014,"4,426","13,703","$56,448 ",10,150,1,6,46,780,57,936,"2,789","1,612","7,630",2,780
Boylston - Boylston Public Library,2014,"4,393","27,197","$165,290 ",37,448,7,67,55,794,99,"1,309","3,464","4,197","25,121",5,"2,964"
Avon - Avon Public Library,2014,"4,386","31,997","$376,687 ",20,213,3,18,30,359,53,590,"2,006","7,401","48,000",6,"6,240"
West Newbury - G. A. R. Memorial Library,2014,"4,367","99,590","$306,873 ",18,225,1,5,147,"3,224",166,"3,454","14,163","14,613","48,965",7,"19,916"
Edgartown - Edgartown Free Public Library,2014,"4,209","84,679","$526,713 ",94,"1,446",5,24,190,"2,684",289,"4,154","8,610","20,493","46,574",15,"7,644"
